Gene ID	Gene Name	Reference	Strand	Start	End	Coverage	FPKM	TPM
.	YCL057C-A	chrIII	-	23943	24032	131.827682	134.364594	390.461731
.	YCL055W	chrIII	+	28936	29427	10.593496	10.734470	31.194227
.	YCL054W-A	chrIII	+	30996	31334	29.094395	29.481571	85.673050
.	YCL054W	chrIII	+	33974	34149	11.244318	11.393952	33.110676
.	YCL052C	chrIII	-	33984	34143	0.000000	0.000000	0.000000
.	YCL051W	chrIII	+	37616	37667	2.500000	2.533269	7.361646
.	YCL050C	chrIII	-	37675	37836	13.117284	13.291843	38.625919
.	YCL049C	chrIII	-	39637	39786	20.766666	21.043022	61.150738
.	YCL048W-A	chrIII	+	41727	41874	2.364865	2.396336	6.963719
.	YCL048W	chrIII	+	43556	43591	1.861111	1.885878	5.480336
.	YCL045C	chrIII	-	44574	44623	16.280001	16.496649	47.939041
.	YCL043C	chrIII	-	48548	48653	29.452829	29.844776	86.728523
.	YCL042W	chrIII	+	50943	51144	345.391083	349.987396	1017.058716
.	YCL040W	chrIII	+	52340	52358	235.842102	238.980606	694.474426
.	YCL039W	chrIII	+	54882	55178	18.986532	19.239199	55.908852
.	YBL099W	chrII	+	38690	38725	150.916672	152.925018	444.398041
.	YBL098W	chrII	+	40527	40583	22.947369	23.252743	67.572159
.	YBL092W	chrII	+	46370	46653	73.415489	74.392479	216.183533
.	YBL091C-A	chrII	-	46392	46565	0.000000	15.002790	43.597908
.	YBL091C	chrII	-	47353	47363	47.727272	48.362408	140.540512
.	YBL090W	chrII	+	49358	49385	35.785713	36.261932	105.376701
.	YBL087C	chrII	-	59594	59822	24.021833	24.341507	70.736099
.	YBL086C	chrII	-	61152	61202	3.627451	3.675724	10.681604
.	YBL085W	chrII	+	66818	66884	26.522388	26.875338	78.099373
.	YBL084C	chrII	-	67107	67169	5.761905	5.838583	16.966843
.	YBL081W	chrII	+	72972	72986	3.800000	3.850569	11.189702
.	YBL076C	chrII	-	80928	81043	26.353449	26.704151	77.601906
.	YBL072C	chrII	-	88076	88523	21.368303	21.652664	62.922356
.	snR56	chrII	+	88277	88384	0.000000	0.000000	0.000000
.	YBL071W-A	chrII	+	90226	90305	50.275002	50.944038	148.042694
.	YBL069W	chrII	+	92030	92221	16.703125	16.925404	49.184998
.	YBL068W	chrII	+	93394	93696	16.650166	16.871738	49.029053
.	YBL067C	chrII	-	93429	93639	0.000000	0.000000	0.000000
.	YBL063W	chrII	+	105221	105434	19.014019	19.267050	55.989796
.	YBL060W	chrII	+	109995	110025	41.612904	42.166672	122.535789
.	YBL059W	chrII	+	111244	111269	5.230769	5.300378	15.402828
.	YBL058W	chrII	+	112708	113444	143.070557	144.974487	421.293915
.	YBL057C	chrII	-	112765	112801	0.000000	0.000000	0.000000
.	YBL055C	chrII	-	115291	115573	29.355555	29.746206	86.442078
.	YBL052C	chrII	-	119088	119379	26.558220	26.911644	78.204880
.	YBL048W	chrII	+	127610	127630	2.047619	2.074868	6.029539
.	YBL044W	chrII	+	136366	136378	3.076923	3.117869	9.060487
.	YBL043W	chrII	+	137461	137473	2.076923	2.104562	6.115829
.	YBL042C	chrII	-	138170	138341	10.575582	10.716317	31.141476
.	YBL041W	chrII	+	141972	142201	108.278259	109.719185	318.842468
.	YBL040C	chrII	-	142085	142112	0.000000	16.084105	46.740192
.	YBL039W-B	chrII	+	143572	143653	36.524391	37.010445	107.551857
.	YBL039C	chrII	-	143839	143989	7.582781	7.683690	22.328699
.	YBL038W	chrII	+	146885	147008	22.862904	23.167154	67.323441
.	YBL036C	chrII	-	150417	150447	39.806450	40.336182	117.216400
.	YBL034C	chrII	-	153832	153848	1.764706	1.788190	5.196456
.	YBL033C	chrII	-	158566	158656	13.362638	13.540463	39.348404
.	YBL032W	chrII	+	161329	161523	50.435898	51.107082	148.516479
.	YBL031W	chrII	+	162715	162729	15.000000	15.199615	44.169876
.	YBL030C	chrII	-	162976	163041	74.363640	75.353241	218.975525
.	YBL024W	chrII	+	174588	174649	77.532257	78.564026	228.306015
.	YBL023C	chrII	-	174677	174920	3.061476	3.102217	9.015001
.	YBL022C	chrII	-	177738	177874	4.364964	4.423051	12.853328
.	YBL021C	chrII	-	181494	181660	24.952095	25.284147	73.475403
.	YBL020W	chrII	+	184125	184186	12.500000	12.666345	36.808231
.	YBL018C	chrII	-	185709	185998	23.889656	24.207567	70.346870
.	YBL017C	chrII	-	186755	186844	19.422222	19.680685	57.191811
.	YBL016W	chrII	+	193512	193651	30.042856	30.442654	88.465950
.	YBL015W	chrII	+	195702	195821	23.208334	23.517181	68.340614
.	YBL014C	chrII	-	199007	199064	16.465517	16.684633	48.485325
.	YBL013W	chrII	+	203261	203340	6.625000	6.713163	19.508362
.	YBL011W	chrII	+	205817	206037	27.277143	27.895761	81.064713
.	YBL010C	chrII	-	206097	206107	66.727272	67.615250	196.489029
.	YBL009W	chrII	+	209224	209448	2.293333	2.323852	6.753082
.	YBL008W	chrII	+	212175	212189	6.066667	6.147400	17.864262
.	YBL007C	chrII	-	212615	212632	8.055555	8.162756	23.720860
.	YBL006C	chrII	-	216571	216587	78.941177	79.991692	232.454803
.	YBL005W	chrII	+	220400	220445	28.739130	29.121578	84.626923
.	tS(AGA)B	chrII	+	227156	227182	0.962963	0.975778	2.835597
.	YBL004W	chrII	+	235117	235214	8.928651	9.047470	26.291828
.	YBL001C	chrII	-	236997	237153	113.560509	115.071732	334.396912
.	YBR001C	chrII	-	238682	238941	6.146154	6.227944	18.098324
.	YBR006W	chrII	+	248503	248518	75.125000	76.124733	221.217468
.	YBR008C	chrII	-	252453	252563	14.117117	14.304982	41.570087
.	YBR009C	chrII	-	255358	255373	915.875000	928.063171	2696.939209
.	YBR012W-B	chrII	+	265140	265219	21.992188	22.284851	64.759483
.	YBR013C	chrII	-	265464	265492	66.879311	67.769318	196.936722
.	YBR014C	chrII	-	266343	266725	27.570496	27.937393	81.185692
.	YBR015C	chrII	-	267634	267710	33.337650	33.781307	98.168030
.	YBR016W	chrII	+	270633	270987	51.571831	52.258129	151.861435
.	YBR019C	chrII	-	276168	276253	3.872093	3.923621	11.401991
.	YBR020W	chrII	+	280607	280619	1.076923	1.091254	3.171170
.	YBR022W	chrII	+	284271	284487	24.299540	24.622910	71.553848
.	YBR023C	chrII	-	284406	284428	0.000000	0.000000	0.000000
.	YBR024W	chrII	+	290350	290464	23.678261	23.993362	69.724388
.	YBR025C	chrII	-	290584	290681	176.846939	179.200363	520.753845
.	YBR026C	chrII	-	292654	292877	32.767857	33.203918	96.490143
.	YBR028C	chrII	-	294407	294425	27.842106	28.212618	81.985489
.	YBR029C	chrII	-	296233	296369	6.445255	6.531027	18.979076
.	YBR035C	chrII	-	306141	306269	35.651146	36.125595	104.980492
.	YBR036C	chrII	-	308526	309081	25.544949	25.884907	75.221191
.	TLC1	chrII	+	308887	308897	0.000015	0.000015	0.000044
.	YBR037C	chrII	-	310546	310565	7.699984	7.802468	22.673870
.	YBR041W	chrII	+	320275	320285	34.272728	34.728813	100.921478
.	YBR043C	chrII	-	321858	321876	55.105263	55.838581	162.266174
.	YBR044C	chrII	-	324232	324341	5.527273	5.600828	16.275930
.	YBR046C	chrII	-	330496	330507	23.999985	24.319382	70.671799
.	YBR047W	chrII	+	332360	332487	5.648438	5.723605	16.632721
.	YBR049C	chrII	-	334285	334386	15.460784	15.666531	45.526726
.	YBR052C	chrII	-	338480	338720	19.626556	19.887737	57.793503
.	YBR053C	chrII	-	339659	339675	73.764709	74.746338	217.211884
.	tL(UAA)B2	chrII	+	347686	347721	1.027778	1.041455	3.026455
.	YBR056W	chrII	+	349384	349615	9.116380	9.237698	26.844625
.	tQ(UUG)B	chrII	+	350898	350923	1.038462	1.052281	3.057916
.	YBR056W-A	chrII	+	351455	351468	32.714287	33.149635	96.332397
.	YBR057C	chrII	-	351776	352193	9.344498	9.468850	27.516356
.	YBR058C	chrII	-	353634	353672	27.282051	27.645109	80.336327
.	YBR060C	chrII	-	360560	360652	5.419355	5.491474	15.958149
.	YBR061C	chrII	-	364360	364787	10.158878	10.294069	29.914425
.	YBR062C	chrII	-	365825	365976	24.861841	25.192696	73.209641
.	YBR065C	chrII	-	368491	368584	6.244681	6.327783	18.388453
.	YBR067C	chrII	-	371357	372103	18.433735	18.679043	54.281052
.	YBR070C	chrII	-	379018	379221	3.705882	3.755198	10.912557
.	YBR071W	chrII	+	381046	381200	20.419355	20.691088	60.128029
.	YBR072W	chrII	+	382674	382948	147.854538	149.822144	435.381165
.	YBR072C-A	chrII	-	382840	382860	0.000000	0.000000	0.000000
.	YBR073W	chrII	+	385988	386107	15.466666	15.672490	45.544048
.	YBR077C	chrII	-	390501	391805	38.481991	38.994099	113.316330
.	YBR078W	chrII	+	394742	394781	170.574997	172.844955	502.285095
.	YBR079C	chrII	-	394968	395383	42.750000	43.318901	125.884148
.	YBR080C	chrII	-	398558	398614	6.368421	6.453169	18.752825
.	YBR081C	chrII	-	401136	401253	6.805085	6.895645	20.038651
.	tD(GUC)B	chrII	+	406031	406066	3.940972	3.993417	11.604816
.	YBR083W	chrII	+	410629	410652	10.791667	10.935278	31.777773
.	YBR084W	chrII	+	413981	413991	57.454544	58.219124	169.184006
.	YBR084C-A	chrII	-	414167	414186	367.799988	372.694519	1083.045410
.	YBR085C-A	chrII	-	418874	418907	1108.696411	1124.473389	3267.705078
.	YBR086C	chrII	-	420099	420201	33.961166	34.413109	100.004036
.	YBR087W	chrII	+	424829	424996	19.440475	19.699183	57.245560
.	YBR088C	chrII	-	424949	424990	0.000000	0.000000	0.000000
.	YBR089C-A	chrII	-	425974	426190	44.073734	44.660244	129.782089
.	YBR091C	chrII	-	426973	427155	13.852459	14.036803	40.790764
.	YBR092C	chrII	-	427655	427698	2.795455	2.832656	8.231660
.	YBR093C	chrII	-	429502	429548	4.595745	4.656904	13.532899
.	YBR096W	chrII	+	436713	436793	70.716095	71.657158	208.234741
.	YBR101C	chrII	-	443665	443821	13.974523	14.160490	41.150196
.	YBR102C	chrII	-	444779	445062	4.852113	4.916683	14.287815
.	YBR103W	chrII	+	449316	449341	6.269231	6.352659	18.460743
.	YBR104W	chrII	+	450656	450762	18.299065	18.542583	53.884499
.	YBR105C	chrII	-	450870	450881	56.750000	57.505203	167.109360
.	YBR106W	chrII	+	453224	454699	30.745258	31.154404	90.534279
.	YBR107C	chrII	-	453704	453793	0.000000	0.000000	0.000000
.	YBR108W	chrII	+	457665	457677	55.307693	56.043709	162.862259
.	YBR109C	chrII	-	457893	457919	465.111115	471.300629	1369.593262
.	YBR111C	chrII	-	460692	461178	56.088295	56.834694	165.160873
.	YBR111W-A	chrII	+	462579	462942	44.648350	45.242512	131.474136
.	YBR112C	chrII	-	462837	462870	0.000000	0.000000	0.000000
.	YBR115C	chrII	-	469567	469748	17.851648	18.089212	52.567013
.	YBR117C	chrII	-	474295	474392	3.744898	3.794734	11.027446
.	YBR118W	chrII	+	479047	479247	46.853233	47.476738	137.966766
.	YBR120C	chrII	-	480268	480435	18.208334	18.450644	53.617325
.	YBR119W	chrII	+	480323	480339	0.000000	0.000000	0.000000
.	YBR122C	chrII	-	483921	483970	64.739998	65.601532	190.637177
.	YBR126C	chrII	-	488697	488905	139.736847	141.596405	411.477295
.	YBR126W-A	chrII	+	491056	491293	278.348724	282.052917	819.642029
.	YBR127C	chrII	-	491066	491269	0.000000	233.356903	678.132080
.	YBR128C	chrII	-	492996	493081	5.313953	5.384669	15.647777
.	YBR129C	chrII	-	494196	494353	3.715190	3.764630	10.939965
.	YBR130C	chrII	-	495477	495592	23.284483	23.594343	68.564842
.	YBR135W	chrII	+	505306	505344	9.589744	9.717360	28.238520
.	YBR137W	chrII	+	513583	514329	21.725569	22.014685	63.974377
.	YBR139W	chrII	+	517190	517208	9.157895	9.279765	26.966873
.	YBR141C	chrII	-	526920	527025	9.830189	9.961005	28.946548
.	YBR145W	chrII	+	534817	534972	2.846154	2.884029	8.380951
.	YBR148W	chrII	+	539705	539726	1.727273	1.750259	5.086229
.	YBR149W	chrII	+	541021	541621	40.374374	40.911663	118.888756
.	YBR150C	chrII	-	541197	541209	0.000000	0.000000	0.000000
.	YBR152W	chrII	+	547251	547539	14.055364	14.242407	41.388245
.	YBR155W	chrII	+	550928	550955	34.892857	35.357201	102.747551
.	YBR157C	chrII	-	553443	553543	8.673267	8.788690	25.539812
.	YBR159W	chrII	+	559728	559800	7.150685	7.245843	21.056324
.	YBR160W	chrII	+	560974	561227	4.322834	4.380361	12.729269
.	YBR167C	chrII	-	571356	571468	5.362832	5.434198	15.791708
.	YBR168W	chrII	+	573612	573623	13.166667	13.341884	38.771336
.	YBR171W	chrII	+	578984	579141	22.689873	22.991819	66.813919
.	YBR176W	chrII	+	584658	584673	37.125000	37.619045	109.320442
.	YBR181C	chrII	-	591599	591712	289.692993	293.548096	853.046814
.	YBR182C	chrII	-	593468	593506	1.487180	1.506971	4.379237
.	YBR184W	chrII	+	598934	598946	7.230769	7.326993	21.292145
.	YBR186W	chrII	+	602360	602384	1.040000	1.053840	3.062444
.	YBR187W	chrII	+	603476	603509	10.294118	10.431108	30.312660
.	YBR191W	chrII	+	607140	607378	34.615063	35.075706	101.929543
.	YBR192W	chrII	+	608785	608818	31.264706	31.680765	92.063881
.	YBR195C	chrII	-	610379	610614	24.822035	25.152357	73.092415
.	YBR194W	chrII	+	610409	610428	0.000000	0.000000	0.000000
.	YBR196C	chrII	-	611954	612236	44.696114	45.290913	131.614777
.	YBR196C-A	chrII	-	613983	614024	1.023810	1.037434	3.014771
.	YBR197C	chrII	-	615185	615203	34.842106	35.305775	102.598091
.	YBR198C	chrII	-	615847	616127	15.462633	15.668405	45.532173
.	YBR200W	chrII	+	622527	622542	51.187500	51.868687	150.729721
.	YBR201W	chrII	+	624211	624903	25.040403	25.373631	73.735435
.	YBR202W	chrII	+	628309	628327	37.526318	38.025703	110.502182
.	YBR205W	chrII	+	634836	634854	42.368420	42.932240	124.760521
.	YBR207W	chrII	+	636543	636923	18.813648	19.064014	55.399765
.	YBR208C	chrII	-	636692	636703	0.000000	0.000000	0.000000
.	tC(GCA)B	chrII	-	642955	643007	0.981132	0.994188	2.889099
.	tE(UUC)B	chrII	+	645238	645249	1.383464	1.401875	4.073829
.	YBR210W	chrII	+	645978	647234	31.603813	32.024384	93.062439
.	YBR211C	chrII	-	646056	646158	0.000000	0.000000	0.000000
.	YBR213W	chrII	+	651192	651205	1.857143	1.881857	5.468652
.	YBR214W	chrII	+	652998	653110	13.929204	14.114568	41.016747
.	YBR215W	chrII	+	655317	655327	7.272727	7.369510	21.415697
.	YBR216C	chrII	-	655528	655576	16.244898	16.461079	47.835674
.	YBR220C	chrII	-	662651	662995	11.234782	11.384292	33.082600
.	YBR221W-A	chrII	+	666642	666656	21.000000	21.752337	63.212006
.	YBR222C	chrII	-	666699	666720	54.806767	55.870094	162.357758
.	YBR225W	chrII	+	673329	673601	9.351648	9.476096	27.537409
.	YBR227C	chrII	-	673554	673572	0.000000	0.000000	0.000000
.	YBR229C	chrII	-	676214	676357	14.527778	14.721107	42.779343
.	YBR230C	chrII	-	679539	679549	95.363640	96.632698	280.813354
.	YBR230W-A	chrII	+	680562	681571	43.484158	44.062824	128.045990
.	LSR1	chrII	-	680567	680688	0.000000	0.000000	0.000000
.	YBR231C	chrII	-	682136	682179	3.909091	3.961112	11.510938
.	YBR233W	chrII	+	684669	684741	10.561644	10.702193	31.100433
.	YBR233W-A	chrII	+	685261	685398	39.216805	40.561672	117.871681
.	YBR234C	chrII	-	685401	685438	20.208977	21.759447	63.232666
.	YBR235W	chrII	+	690263	690286	36.333332	36.816841	106.989250
.	YBR236C	chrII	-	690369	690383	55.400002	56.137241	163.134079
.	YBR237W	chrII	+	694518	694530	10.000000	10.133076	29.446585
.	YBR239C	chrII	-	698065	698354	10.410345	10.548882	30.654909
.	YBR242W	chrII	+	705386	705407	10.848742	11.330621	32.926636
.	YBR243C	chrII	-	705436	705447	34.413097	34.959114	101.590714
.	YBR244W	chrII	+	708016	708034	1512.157837	1532.281250	4452.788574
.	YBR245C	chrII	-	708140	708150	44.727272	45.322487	131.706543
.	YBR246W	chrII	+	712754	712885	8.606061	8.720587	25.341909
.	YBR247C	chrII	-	712992	713004	22.076923	22.370714	65.009003
.	YBR248C	chrII	-	714649	714807	10.691824	10.834106	31.483770
.	YBR250W	chrII	+	720604	720721	2.881356	2.919700	8.484610
.	YBR251W	chrII	+	722313	722425	31.938053	32.363071	94.046661
.	YBR252W	chrII	+	723054	723068	101.333336	102.681839	298.392059
.	YBR253W	chrII	+	723635	724299	59.554886	60.347420	175.368790
.	YBR254C	chrII	-	723643	723736	0.000000	0.000000	0.000000
.	YBR255C-A	chrII	-	726110	726618	23.799606	24.116323	70.081711
.	YBR256C	chrII	-	727355	727386	42.718750	43.287231	125.792130
.	YBR257W	chrII	+	729724	729750	23.333334	23.643845	68.708694
.	YBR260C	chrII	-	732418	732639	8.644144	8.759177	25.454052
.	YBR259W	chrII	+	732453	732467	0.000000	0.000000	0.000000
.	YBR261C	chrII	-	734251	734832	34.242268	34.697948	100.831779
.	YBR262C	chrII	-	735600	735720	52.000000	52.691994	153.122238
.	YBR264C	chrII	-	737723	737770	49.791668	50.454277	146.619461
.	YBR263W	chrII	+	737736	737748	0.000000	0.000000	0.000000
.	YBR265W	chrII	+	739544	739679	49.066177	49.719131	144.483124
.	YBR268W	chrII	+	741616	741768	31.163399	31.578108	91.765564
.	YBR269C	chrII	-	742079	742160	56.987804	57.746174	167.809616
.	YBR270C	chrII	-	742731	742761	1.032258	1.045995	3.039647
.	YBR271W	chrII	+	746111	746207	16.195877	16.411406	47.691326
.	YBR273C	chrII	-	748051	748061	34.909092	35.373650	102.795349
.	YBR274W	chrII	+	751177	751329	16.790850	17.014296	49.443317
.	YCR034W	chrIII	+	191635	191666	11.031250	11.178049	32.483265
.	YCR036W	chrIII	+	194298	194606	7.647249	7.749016	22.518536
.	YCR039C	chrIII	-	199260	199546	8.835107	8.952681	26.016373
.	YCL037C	chrIII	-	57256	57374	36.848740	37.339108	108.506950
.	YCL034W	chrIII	+	62722	62800	10.012658	10.145903	29.483858
.	YCL031C	chrIII	-	63396	64675	41.503124	42.055431	122.212524
.	YCL029C	chrIII	-	68588	68599	59.166668	59.954033	174.225632
.	YCL026C-B	chrIII	-	73336	73405	15.600000	15.807599	45.936672
.	YCL027W	chrIII	+	73341	73358	0.000000	0.000000	0.000000
.	YCL026C-A	chrIII	-	74693	74704	2.083333	2.111057	6.134704
.	YCL025C	chrIII	-	75947	76018	2.527778	2.561416	7.443443
.	YCL024W	chrIII	+	82275	82482	6.690392	6.779425	19.700918
.	tE(UUC)C	chrIII	-	82309	82462	0.000000	0.000000	0.000000
.	YCL020W	chrIII	+	86418	86582	39.583523	40.110283	116.559959
.	YCL019W	chrIII	+	90415	90519	21.887054	22.178318	64.449898
.	YCL011C	chrIII	-	101931	102075	34.641350	35.102345	102.006935
.	YCL010C	chrIII	-	103450	103571	17.836033	18.073387	52.521023
.	YCL005W-A	chrIII	+	107417	107860	59.513512	60.305496	175.246964
.	snR43	chrIII	-	107440	107504	0.000000	0.000000	0.000000
.	YCL004W	chrIII	+	110670	110693	21.583334	21.870556	63.555546
.	YCL001W	chrIII	+	112482	112566	51.023529	51.702530	150.246857
.	YCL001W-A	chrIII	+	113541	113558	7.000000	7.093153	20.612608
.	YCR002C	chrIII	-	117363	117380	10.555523	10.696025	31.082504
.	YCR003W	chrIII	+	119171	119504	16.931137	17.156450	49.856419
.	YCR005C	chrIII	-	120930	120946	175.529419	177.865311	516.874207
.	YCR007C	chrIII	-	125994	126011	26.333334	26.683767	77.542671
.	YCR008W	chrIII	+	130281	130361	21.345678	21.629738	62.855732
.	YCR009C	chrIII	-	130730	130745	64.625000	65.485008	190.298553
.	YCR010C	chrIII	-	132249	132273	1.560000	1.580760	4.593667
.	YCR011C	chrIII	-	133294	133724	8.661253	8.776514	25.504431
.	YCR014C	chrIII	-	139135	139185	43.921539	44.506062	129.334015
.	YCR015C	chrIII	-	140671	141217	16.040190	16.253677	47.232967
.	YCR017C	chrIII	-	144758	144773	32.374969	32.805832	95.333313
.	YCR020C	chrIII	-	153962	154012	3.254871	3.298217	9.584575
.	YCR020C-A	chrIII	-	154803	154830	29.464252	29.856384	86.762253
.	YCR020W-B	chrIII	+	155556	155820	46.513206	47.132183	136.965515
.	YCR021C	chrIII	-	156046	156109	3.500000	3.546577	10.306304
.	YCR023C	chrIII	-	158523	158538	27.437468	27.802628	80.794067
.	YCR024C-A	chrIII	-	162397	162945	301.861542	305.878632	888.879211
.	snR65	chrIII	+	177282	177301	3.500000	3.546577	10.306304
.	snR189	chrIII	-	178579	178610	1.781217	1.804954	5.245173
.	YCR032W	chrIII	+	186023	186200	5.016854	5.083616	14.772922
.	YCR033W	chrIII	+	190169	190310	12.380281	12.545033	36.455700
.	YCR040W	chrIII	+	200969	201070	5.839862	5.917576	17.196398
.	YCR044C	chrIII	-	206859	206877	8.473684	8.586449	24.952105
.	YCR045C	chrIII	-	208070	208135	1.833333	1.857730	5.398540
.	YCR046C	chrIII	-	209787	209914	47.804688	48.440853	140.768478
.	YCR047C	chrIII	-	210415	210718	21.078947	21.359459	62.070301
.	YCR050C	chrIII	-	213369	213464	41.135418	41.682835	121.129745
.	YCR051W	chrIII	+	214739	214894	57.384617	58.148270	168.978088
.	YCR052W	chrIII	+	216445	216509	12.153846	12.315584	35.788925
.	YCR059C	chrIII	-	223441	223454	78.500000	79.544647	231.155685
.	YCR060W	chrIII	+	224734	225220	21.039015	21.318993	61.952709
